Year,"Cropland, rainfed",Herbaceous cover,Mosaic cropland ,Mosaic nat. veg.,Tree or shrub cover,"Tree, BL-Eg ","Tree, flooded, fresh","Tree, flooded, saline",Urban ,Water bodies
1992,     669.27,     359.88,    9932.10,    6787.10,    1535.82,   49790.60,     619.71,    2876.03,     141.23,    1366.86
1993,     668.22,     357.42,    9931.54,    6787.00,    1535.82,   49790.02,     619.71,    2876.03,     146.16,    1366.68
1994,     667.37,     355.80,    9929.83,    6786.91,    1535.82,   49788.70,     619.71,    2875.94,     151.85,    1366.68
1995,     690.93,     362.74,    9762.24,    7025.33,    1609.91,   49453.97,     645.98,    3033.38,     157.83,    1335.35
1996,     691.31,     361.88,    9659.14,    7058.96,    1618.46,   49479.32,     656.13,    3070.20,     163.24,    1317.88
1997,     691.60,     362.07,    9571.74,    7148.75,    1623.58,   49426.93,     664.76,    3105.97,     169.59,    1311.04
1998,     692.17,     362.84,    9463.15,    7252.93,    1623.02,   49384.38,     679.84,    3131.87,     176.14,    1308.28
1999,     691.42,     365.40,    9324.15,    7426.93,    1628.43,   49311.89,     683.91,    3155.42,     182.21,    1303.91
2000,     686.96,     367.40,    9324.08,    7574.86,    1630.52,   49151.88,     685.81,    3158.64,     191.32,    1301.92
2001,     691.51,     374.23,    9162.15,    7666.54,    1641.92,   49173.04,     695.11,    3169.75,     195.41,    1303.06
2002,     689.99,     375.66,    8793.99,    7722.27,    1637.46,   49468.84,     703.84,    3181.04,     198.45,    1300.59
2003,     690.47,     376.23,    8349.01,    7681.73,    1631.01,   49934.65,     716.55,    3187.49,     201.48,    1304.68
2004,     662.44,     380.41,    8021.64,    7767.77,    1617.72,   50204.38,     717.30,    3191.95,     204.24,    1303.64
2005,     657.51,     381.56,    7933.61,    7906.60,    1614.02,   50150.14,     718.73,    3193.75,     212.30,    1301.74
2006,     636.71,     384.98,    7611.60,    7954.91,    1600.34,   50443.61,     720.05,    3198.69,     215.34,    1301.36
2007,     624.66,     388.31,    7353.76,    8047.20,    1593.03,   50618.43,     717.58,    3206.95,     221.61,    1293.86
2008,     603.29,     397.71,    7031.09,    8135.58,    1569.39,   50883.69,     713.40,    3213.12,     225.40,    1292.15
2009,     559.68,     417.95,    6636.08,    8173.44,    1541.48,   51278.73,     713.02,    3227.73,     230.53,    1282.47
2010,     557.87,     443.96,    6637.96,    8298.97,    1548.70,   51118.02,     710.27,    3228.21,     233.66,    1280.86
2011,     532.14,     450.31,    6492.16,    8294.09,    1508.44,   51325.96,     710.08,    3239.70,     238.69,    1267.00
2012,     527.39,     471.77,    6485.33,    8328.85,    1508.06,   51281.21,     704.38,    3240.75,     243.25,    1265.95
2013,     512.19,     503.57,    6443.80,    8351.71,    1502.26,   51281.87,     697.64,    3240.37,     254.36,    1265.00
2014,     440.72,     648.62,    6313.75,    8555.74,    1444.94,   51222.06,     665.88,    3289.71,     263.28,    1189.69
2015,     440.06,     647.00,    6313.08,    8555.64,    1444.94,   51221.77,     665.88,    3289.71,     266.89,    1189.69
