,,,1.142,BCC,bcc-csm1-1
,,,1.338,BCC,bcc-csm1-1-m
,,,0.772,BNU,BNU-ESM
,,,1.064,CCCma,CanESM2
,,,1.337,CMCC,CMCC-CMS
,,,1.533,CNRM-CERFACS,CNRM-CM5
,,,0.897,CSIRO-BOM,ACCESS1-0
,,,1.329,CSIRO-BOM,ACCESS1-3
,,,1.486,CSIRO-QCCCE,CSIRO-Mk3-6-0
,,,1.517,INM,inmcm4
,,,1.386,IPSL,IPSL-CM5A-LR
,,,1.457,IPSL,IPSL-CM5A-MR
,,,1.464,IPSL,IPSL-CM5B-LR
,,,1.179,MIROC,MIROC5
,,,0.806,MIROC,MIROC-ESM
,,,0.746,MIROC,MIROC-ESM-CHEM
,,,1.420,MOHC,HadGEM2-CC
,,,1.344,MOHC,HadGEM2-ES
,,,1.169,MPI-M,MPI-ESM-LR
,,,1.216,MPI-M,MPI-ESM-MR
,,,1.965,MRI,MRI-CGCM3
,,,2.085,NASA-GISS,GISS-E2-H
,,,2.101,NASA-GISS,GISS-E2-H-CC
,,,2.356,NASA-GISS,GISS-E2-R
,,,2.295,NASA-GISS,GISS-E2-R-CC
,,,1.001,NCAR,CCSM4
,,,1.047,NCC,NorESM1-M
,,,1.057,NCC,NorESM1-ME
,,,1.016,NOAA-GFDL,GFDL-CM3
,,,1.205,NOAA-GFDL,GFDL-ESM2G
,,,1.150,NOAA-GFDL,GFDL-ESM2M
,,,0.985,NSF-DOE-NCAR,CESM1-BGC
,,,1.074,NSF-DOE-NCAR,CESM1-CAM5
,,,1.111,NSF-DOE-NCAR,CESM1-WACCM
