,,,1.351,BCC,bcc-csm1-1
,,,1.279,BCC,bcc-csm1-1-m
,,,0.972,BNU,BNU-ESM
,,,0.827,CCCma,CanESM2
,,,1.344,CMCC,CMCC-CMS
,,,1.441,CNRM-CERFACS,CNRM-CM5
,,,1.355,CSIRO-BOM,ACCESS1-0
,,,1.151,CSIRO-BOM,ACCESS1-3
,,,1.227,CSIRO-QCCCE,CSIRO-Mk3-6-0
,,,1.891,INM,inmcm4
,,,0.533,IPSL,IPSL-CM5A-LR
,,,0.563,IPSL,IPSL-CM5A-MR
,,,1.328,IPSL,IPSL-CM5B-LR
,,,1.545,MIROC,MIROC5
,,,1.016,MIROC,MIROC-ESM
,,,0.898,MIROC,MIROC-ESM-CHEM
,,,1.054,MOHC,HadGEM2-CC
,,,0.978,MOHC,HadGEM2-ES
,,,1.062,MPI-M,MPI-ESM-LR
,,,1.156,MPI-M,MPI-ESM-MR
,,,1.706,MRI,MRI-CGCM3
,,,0.712,NASA-GISS,GISS-E2-H
,,,0.812,NASA-GISS,GISS-E2-H-CC
,,,0.801,NASA-GISS,GISS-E2-R
,,,0.803,NASA-GISS,GISS-E2-R-CC
,,,1.111,NCAR,CCSM4
,,,1.646,NCC,NorESM1-M
,,,1.565,NCC,NorESM1-ME
,,,0.958,NOAA-GFDL,GFDL-CM3
,,,1.895,NOAA-GFDL,GFDL-ESM2G
,,,1.788,NOAA-GFDL,GFDL-ESM2M
,,,1.132,NSF-DOE-NCAR,CESM1-BGC
,,,1.331,NSF-DOE-NCAR,CESM1-CAM5
,,,1.262,NSF-DOE-NCAR,CESM1-WACCM
